#Solar Radiation Research Laboratory (39.74 N,105.18 W) file for 13
# data obtained from ...
$state_name=N/A
$city_name=N/A
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
01:01:00:00:00,13.316,0.868,0.0,0.0,0.0,0.0
01:01:00:01:00,13.406,0.8690000000000001,0.0,0.0,0.0,0.0
01:01:00:02:00,13.442,0.868,0.0,0.0,0.0,0.0
01:01:00:03:00,13.658,0.871,0.0,0.0,0.0,0.0
01:01:00:04:00,13.586,0.862,0.0,0.0,0.0,0.0
01:01:00:05:00,13.28,0.852,0.0,0.0,0.0,0.0
01:01:00:06:00,13.208,0.8540000000000001,0.0,0.0,0.0,0.0
01:01:00:07:00,13.226,0.858,0.0,0.0,0.0,0.0
01:01:00:08:00,13.154,0.856,0.0,0.0,0.0,0.0
01:01:00:09:00,13.154,0.856,0.0,0.0,0.0,0.0
01:01:00:10:00,13.1,0.856,0.0,0.0,0.0,0.0
01:01:00:11:00,13.082,0.8590000000000001,0.0,0.0,0.0,0.0
01:01:00:12:00,13.118,0.861,0.0,0.0,0.0,0.0
01:01:00:13:00,13.046,0.856,0.7919,0.0,0.0,0.0
01:01:00:14:00,12.956,0.853,0.906,0.0,0.0,0.0
01:01:00:15:00,12.866,0.853,2.1229,0.0,0.0,0.0
01:01:00:16:00,12.794,0.851,2.0647,0.0,0.0,0.0
01:01:00:17:00,12.632,0.847,1.6419,0.0,0.0,0.0
01:01:00:18:00,12.344,0.841,0.0,0.0,0.0,0.0
01:01:00:19:00,12.362,0.8490000000000001,0.0,0.0,0.0,0.0
01:01:00:20:00,12.344,0.851,0.0,0.0,0.0,0.0
01:01:00:21:00,12.344,0.853,0.0,0.0,0.0,0.0
01:01:00:22:00,12.38,0.855,0.0,0.0,0.0,0.0
01:01:00:23:00,12.416,0.855,0.1141,0.0,0.0,0.0
01:01:00:24:00,12.416,0.855,0.7069,0.0,0.0,0.0
01:01:00:25:00,12.434,0.857,0.4519,0.0,0.0,0.0
01:01:00:26:00,12.524,0.857,1.6128,0.0,0.0,0.0
01:01:00:27:00,12.506,0.857,1.4987,0.0,0.0,0.0
01:01:00:28:00,12.578,0.857,0.0,0.0,0.0,0.0
01:01:00:29:00,12.722,0.858,0.0,0.0,0.0,0.0
01:01:00:30:00,12.938,0.86,0.0,0.0,0.0,0.0
01:01:00:31:00,13.262,0.862,0.5659,0.0,0.0,0.0
01:01:00:32:00,13.568,0.861,0.736,0.003918336,0.0,0.0
01:01:00:33:00,13.91,0.856,0.0,0.008549122,0.0,0.0
01:01:00:34:00,14.27,0.8490000000000001,0.0,0.006768044,0.0,0.0
01:01:00:35:00,14.54,0.8390000000000001,0.2259,0.0,0.0,0.0
01:01:00:36:00,14.738,0.8290000000000001,0.2259,0.0,0.0,0.0
01:01:00:37:00,14.882,0.823,0.5659,0.0,0.0,0.0
01:01:00:38:00,14.936,0.8170000000000001,1.6978,0.0,0.0,0.0
01:01:00:39:00,14.882,0.812,1.246,0.0,0.0,0.0
01:01:00:40:00,14.828,0.8079999999999999,2.0088,0.0,0.0,0.0
01:01:00:41:00,14.666,0.8029999999999999,2.7156,0.0,0.0,0.0
01:01:00:42:00,14.522,0.804,2.2906,0.0,0.0,0.0
01:01:00:43:00,14.414,0.8029999999999999,2.6016,0.0,0.0,0.0
01:01:00:44:00,14.288,0.804,2.7716,0.0,0.0,0.0
01:01:00:45:00,14.252,0.8059999999999999,2.7156,0.0,0.0,0.0
01:01:00:46:00,14.198,0.81,2.6597,0.0,0.0,0.0
01:01:00:47:00,14.252,0.81,2.8856,0.0,0.0,0.0
01:01:00:48:00,14.252,0.8109999999999999,2.5456,0.0,0.0,0.0
01:01:00:49:00,14.27,0.8109999999999999,2.0647,0.0,0.0,0.0
01:01:00:50:00,14.324,0.812,1.9797,0.0,0.0,0.0
01:01:00:51:00,14.396,0.813,2.0378,0.0,0.0,0.0
01:01:00:52:00,14.486,0.8140000000000001,2.8275,0.0,0.0,0.0
01:01:00:53:00,14.594,0.812,3.0534,0.0,0.0,0.0
01:01:00:54:00,14.54,0.802,2.5747,0.0,0.0,0.0
01:01:00:55:00,14.378,0.8009999999999999,2.1229,0.0,0.0,0.0
01:01:00:56:00,14.396,0.804,3.0825,0.0,0.0,0.0
01:01:00:57:00,14.414,0.8009999999999999,3.9303,0.0,0.0,0.0
01:01:00:58:00,14.378,0.7987000000000001,3.5075,0.0,0.0,0.0
01:01:00:59:00,14.36,0.7978000000000001,3.1966,0.0,0.0,0.0
01:01:01:00:00,14.342,0.7981999999999999,3.2234,0.0,0.0,0.0
01:01:01:01:00,14.36,0.7989,3.2793,0.0,0.0,0.0
01:01:01:02:00,14.378,0.7972,2.7425,0.0,0.0,0.0
01:01:01:03:00,14.468,0.795,2.5166,0.0,0.0,0.0
01:01:01:04:00,14.54,0.7922,2.7425,0.0,0.0,0.0
01:01:01:05:00,14.612,0.7875,2.6016,0.0,0.0,0.0
01:01:01:06:00,14.504,0.7786,2.3756,0.0,0.0,0.0
01:01:01:07:00,14.324,0.7761,3.1966,0.0,0.0,0.0
01:01:01:08:00,14.234,0.7798,3.9012,0.0,0.0,0.0
01:01:01:09:00,14.162,0.7809,4.919,0.0,0.0,0.0
01:01:01:10:00,14.054,0.7813,5.0599,0.0,0.0,0.0
01:01:01:11:00,13.982,0.7829999999999999,5.23,0.0,0.0,0.0
01:01:01:12:00,13.838,0.7859999999999999,4.4672,0.0,0.0,0.0
01:01:01:13:00,13.82,0.7883,4.1271,0.0,0.0,0.0
01:01:01:14:00,13.838,0.7914,3.3644,0.0,0.0,0.0
01:01:01:15:00,13.91,0.7923,0.51,0.0,0.002809482,0.0
01:01:01:16:00,14.036,0.7957,0.0,0.0,0.0,0.0
01:01:01:17:00,14.288,0.805,0.425,0.0,0.0,0.0
01:01:01:18:00,14.54,0.804,1.3019,0.0,0.0,0.0
01:01:01:19:00,14.648,0.795,0.34,0.0,0.0,0.0
01:01:01:20:00,14.594,0.7876000000000001,2.3197,0.0,0.0,0.0
01:01:01:21:00,14.558,0.7870999999999999,3.1384,0.0,0.0,0.0
01:01:01:22:00,14.504,0.7787000000000001,5.0599,0.0,0.0,0.0
01:01:01:23:00,14.432,0.7715000000000001,6.8406,0.0,0.0,0.0
01:01:01:24:00,14.27,0.7575,7.5474,0.0,0.0,0.0
01:01:01:25:00,14.054,0.7534000000000001,6.7287,0.0,6.82536E-4,0.0
01:01:01:26:00,13.91,0.7563,6.8987,0.0,0.0,0.0
01:01:01:27:00,13.838,0.7579,7.2365,0.0,0.0,0.0
01:01:01:28:00,13.694,0.7584000000000001,7.3215,0.0,0.0,0.0
01:01:01:29:00,13.442,0.7612000000000001,6.2478,0.0,0.0,0.0
01:01:01:30:00,13.316,0.7675,5.4,0.0,0.0,0.0
01:01:01:31:00,13.388,0.7692,5.2859,0.0,0.0,0.0
01:01:01:32:00,13.388,0.7684000000000001,4.749,0.0,0.0,0.0
01:01:01:33:00,13.388,0.7703,5.0599,0.0,0.0,0.0
01:01:01:34:00,13.352,0.7713,4.7781,0.0,0.0,0.0
01:01:01:35:00,13.352,0.773,4.9481,0.0,0.0,0.0
01:01:01:36:00,13.334,0.7748,5.2859,0.0,0.0,0.0
01:01:01:37:00,13.298,0.7787999999999999,5.9659,0.0,0.0,0.0
01:01:01:38:00,13.406,0.7805,6.2187,0.0,0.0,0.0
01:01:01:39:00,13.406,0.7804000000000001,7.6033,0.0,0.0,0.0
01:01:01:40:00,13.442,0.7802,7.1246,0.0,0.00380955,0.0
01:01:01:41:00,13.55,0.775,7.3774,0.0,0.002459899,0.0
01:01:01:42:00,13.658,0.7675,7.6884,0.0,0.0,0.0
01:01:01:43:00,13.838,0.7561,7.3774,0.005699415,0.0,0.0
01:01:01:44:00,14.072,0.7459,6.3887,0.009974023,0.0,0.0
01:01:01:45:00,14.324,0.7375,6.7846,0.006768044,0.0,0.0
01:01:01:46:00,14.396,0.7331,5.485,0.0,0.0,0.0
01:01:01:47:00,14.288,0.7331,4.9749,0.0,0.0,0.0
01:01:01:48:00,14.234,0.7328,5.6259,0.0,0.0,0.0
01:01:01:49:00,14.252,0.7322,5.174,0.0,0.0,0.0
01:01:01:50:00,14.396,0.7301000000000001,5.089,0.0,0.0,0.0
01:01:01:51:00,14.45,0.7271,5.1181,0.0,0.0,0.0
01:01:01:52:00,14.54,0.7245,5.8518,0.0,0.0,0.0
01:01:01:53:00,14.684,0.7214,5.5968,0.0,0.0,0.0
01:01:01:54:00,14.702,0.7206999999999999,5.0331,0.0,0.0,0.0
01:01:01:55:00,14.756,0.7208,4.5231,0.001068629,0.0,0.0
01:01:01:56:00,14.774,0.7197,4.6081,0.0,0.0,0.0
01:01:01:57:00,14.72,0.7204999999999999,4.0153,0.0,0.0,0.0
01:01:01:58:00,14.702,0.7239,3.9303,0.0,0.0,0.0
01:01:01:59:00,14.648,0.723,4.6662,0.0,0.0,0.0
01:01:02:00:00,14.396,0.7252,4.5522,0.0,0.0,0.0
01:01:02:01:00,14.234,0.7318000000000001,4.6372,0.0,0.0,0.0
01:01:02:02:00,14.288,0.7368000000000001,5.0331,0.0,0.0,0.0
01:01:02:03:00,14.36,0.7343999999999999,4.5812,0.0,0.0,0.0
01:01:02:04:00,14.432,0.7351000000000001,5.0331,0.0,0.0,0.0
01:01:02:05:00,14.504,0.7339,5.57,0.0,0.0,0.0
01:01:02:06:00,14.504,0.7342,7.1246,0.0,0.0,0.0
01:01:02:07:00,14.504,0.732,6.7555,0.0,0.0,0.0
01:01:02:08:00,14.45,0.7312000000000001,6.3328,0.0,0.0,0.0
01:01:02:09:00,14.468,0.732,6.8137,0.0,0.0,0.0
01:01:02:10:00,14.486,0.7306,7.2656,0.0,0.0,0.0
01:01:02:11:00,14.522,0.7284,7.7465,0.0,0.0,0.0
01:01:02:12:00,14.432,0.7277,6.8137,0.0,0.0,0.0
01:01:02:13:00,14.468,0.727,7.3215,0.0,0.0,0.0
01:01:02:14:00,14.504,0.7251000000000001,7.9143,0.0,0.0,0.0
01:01:02:15:00,14.36,0.7267,8.3393,0.0,0.0,0.0
01:01:02:16:00,14.432,0.726,7.4356,0.0,0.0,0.0
01:01:02:17:00,14.756,0.7169,7.4624,0.001781079,0.0,0.0
01:01:02:18:00,14.918,0.7136,8.5652,0.0,0.0,0.0
01:01:02:19:00,14.936,0.7095999999999999,8.4511,0.0,0.0,0.0
01:01:02:20:00,15.152,0.7031000000000001,8.4802,0.014248538,0.0,0.0
01:01:02:21:00,15.422,0.6944,10.3168,0.018166874,0.0,0.0
01:01:02:22:00,15.476,0.6848000000000001,10.4308,0.01068638,0.0,0.0
01:01:02:23:00,15.44,0.6867,7.0106,0.008905301,0.0,0.0
01:01:02:24:00,15.854,0.6712,9.073,0.023509924,0.0,0.0
01:01:02:25:00,16.124,0.6645,8.8471,0.026003453,0.0,0.0
01:01:02:26:00,16.268,0.6563,10.4308,0.025647368,0.0,0.0
01:01:02:27:00,16.34,0.655,10.9945,0.015317166,0.0,0.0
01:01:02:28:00,16.286,0.6546,11.3636,0.003562158,0.0,0.0
01:01:02:29:00,16.304,0.6554000000000001,12.5783,0.0,0.0,0.0
01:01:02:30:00,16.214,0.6598,13.5379,0.0,0.0,0.0
01:01:02:31:00,16.196,0.6607999999999999,12.5224,0.0,0.0,0.0
01:01:02:32:00,16.142,0.6629999999999999,11.5605,0.0,0.0,0.0
01:01:02:33:00,16.016,0.6696,10.9945,0.0,0.0,0.0
01:01:02:34:00,15.8,0.6777,9.0462,0.0,0.0,0.0
01:01:02:35:00,15.656,0.682,9.809,0.0,0.0,0.0
01:01:02:36:00,15.548,0.6862999999999999,9.8649,0.0,0.0,0.0
01:01:02:37:00,15.404,0.6914,10.2317,0.0,0.0,0.0
01:01:02:38:00,15.332,0.6958,11.6164,0.0,0.0,0.0
01:01:02:39:00,15.476,0.691,13.142,0.0,0.0,0.0
01:01:02:40:00,15.638,0.6846,12.8333,0.0,0.0,0.0
01:01:02:41:00,15.62,0.6815000000000001,13.482,0.0,0.0,0.0
01:01:02:42:00,15.692,0.6767,12.0683,0.0,0.0,0.0
01:01:02:43:00,15.8,0.6756,10.9095,0.0,0.0,0.0
01:01:02:44:00,15.782,0.6764,10.9945,0.0,0.0,0.0
01:01:02:45:00,15.764,0.6779999999999999,11.1377,0.0,0.0,0.0
01:01:02:46:00,15.692,0.6801999999999999,10.6008,0.0,0.0,0.0
01:01:02:47:00,15.512,0.687,10.9945,0.0,0.0,0.0
01:01:02:48:00,15.368,0.6914,11.8423,0.0,0.0,0.0
01:01:02:49:00,15.26,0.6960999999999999,11.5314,0.0,0.0,0.0
01:01:02:50:00,15.17,0.6976,11.1377,0.0,0.0,0.0
01:01:02:51:00,15.152,0.6970000000000001,9.894,0.0,0.0,0.0
01:01:02:52:00,15.188,0.6951,10.1199,0.0,0.0,0.0
01:01:02:53:00,15.314,0.6895,9.8358,0.0,0.0,0.0
01:01:02:54:00,15.512,0.6836,9.554,0.003205886,0.0,0.0
01:01:02:55:00,15.62,0.6781999999999999,9.0462,0.008192944,0.0,0.0
01:01:02:56:00,15.656,0.6748000000000001,9.668,0.002137257,0.0,0.0
01:01:02:57:00,15.638,0.6767,9.979,0.0,0.0,0.0
01:01:02:58:00,15.476,0.6795,10.0349,0.0,0.0,0.0
01:01:02:59:00,15.44,0.6789000000000001,10.0908,0.0,0.0,0.0
01:01:03:00:00,15.512,0.6764,9.498,0.0,0.0,0.0
01:01:03:01:00,15.584,0.6729999999999999,9.668,0.0,0.0,0.0
01:01:03:02:00,15.548,0.6772,9.1021,0.0,0.0,0.0
01:01:03:03:00,15.44,0.6809000000000001,8.5361,0.0,0.0,0.0
01:01:03:04:00,15.404,0.6848000000000001,9.1021,0.0,0.0,0.0
01:01:03:05:00,15.476,0.6854,9.2139,0.0,0.0,0.0
01:01:03:06:00,15.476,0.6905,9.0462,0.0,0.0,0.0
01:01:03:07:00,15.602,0.6943,9.073,0.0,0.0,0.0
01:01:03:08:00,15.692,0.6993,8.2252,0.0,0.0,0.0
01:01:03:09:00,15.638,0.7026,8.1402,0.0,0.0,0.0
01:01:03:10:00,15.494,0.7079000000000001,8.1984,0.0,0.0,0.0
01:01:03:11:00,15.386,0.7147,8.3952,0.0,0.0,0.0
01:01:03:12:00,15.26,0.7182,7.9993,0.0,0.0,0.0
01:01:03:13:00,15.044,0.7240000000000001,6.8137,0.0,0.0,0.0
01:01:03:14:00,14.918,0.7306,5.74,0.0,0.0,0.0
01:01:03:15:00,14.792,0.7354999999999999,5.57,0.0,0.0,0.0
01:01:03:16:00,14.684,0.7414000000000001,5.485,0.0,0.0,0.0
01:01:03:17:00,14.612,0.7506999999999999,5.7959,0.0,0.0,0.0
01:01:03:18:00,14.594,0.7583,5.8518,0.0,0.0,0.0
01:01:03:19:00,14.594,0.7618,5.57,0.0,0.0,0.0
01:01:03:20:00,14.594,0.767,5.9077,0.0,0.0,0.0
01:01:03:21:00,14.54,0.7714,5.8809,0.0,0.0,0.0
01:01:03:22:00,14.54,0.7765000000000001,5.5118,0.0,0.0,0.0
01:01:03:23:00,14.576,0.7803,5.429,0.0,0.0,0.0
01:01:03:24:00,14.63,0.7807999999999999,5.0599,0.0,0.0,0.0
01:01:03:25:00,14.756,0.7796,5.2031,0.0,0.0,0.0
01:01:03:26:00,14.774,0.7766,5.4,0.0,0.0,0.0
01:01:03:27:00,14.774,0.775,5.74,0.0,0.0,0.0
01:01:03:28:00,14.792,0.7757,5.174,0.0,0.0,0.0
01:01:03:29:00,14.828,0.7744,5.7668,0.0,0.0,0.0
01:01:03:30:00,14.864,0.7696999999999999,5.7109,0.0,0.0,0.0
01:01:03:31:00,14.936,0.7676999999999999,5.4,0.002493529,0.0,0.0
01:01:03:32:00,14.99,0.7703,4.8922,0.009261573,0.0,0.0
01:01:03:33:00,15.062,0.7741,4.5231,0.008905394,0.0,0.0
01:01:03:34:00,15.044,0.7759,4.5522,0.009974023,0.0,0.0
01:01:03:35:00,15.044,0.7767000000000001,4.2972,0.006411865,0.0,0.0
01:01:03:36:00,14.954,0.7779,3.8453,0.002493529,0.0,0.0
01:01:03:37:00,14.954,0.7787999999999999,3.2793,7.1245E-4,0.0,0.0
01:01:03:38:00,14.918,0.7797,3.2525,7.1245E-4,0.0,0.0
01:01:03:39:00,14.954,0.7811,2.6597,0.0,0.0,0.0
01:01:03:40:00,14.918,0.7815000000000001,2.7425,0.0014249,0.0,0.0
01:01:03:41:00,14.936,0.7820999999999999,2.7716,0.00213735,0.0,0.0
01:01:03:42:00,14.9,0.7809999999999999,2.7716,0.0,0.0,0.0
01:01:03:43:00,15.008,0.7784,2.7716,0.0,0.0,0.0
01:01:03:44:00,15.008,0.7768999999999999,2.9416,0.0,0.0,0.0
01:01:03:45:00,15.062,0.7763,2.8856,0.0,0.0,0.0
01:01:03:46:00,15.008,0.7761,3.3084,0.0,0.0,0.0
01:01:03:47:00,14.972,0.7775,3.3084,0.0,0.0,0.0
01:01:03:48:00,14.972,0.7797,3.9594,0.0,0.0,0.0
01:01:03:49:00,14.918,0.7823,4.749,0.0,0.0,0.0
01:01:03:50:00,14.972,0.7873,5.429,0.0,0.0,0.0
01:01:03:51:00,14.99,0.7928000000000001,4.4672,0.0,0.0,0.0
01:01:03:52:00,15.116,0.7981,4.9749,0.0,0.0,0.0
01:01:03:53:00,15.152,0.7996,5.8518,0.0,0.0,0.0
01:01:03:54:00,15.188,0.8009999999999999,4.4112,0.0,0.0,0.0
01:01:03:55:00,15.242,0.804,4.6372,0.0,0.0,0.0
01:01:03:56:00,15.26,0.804,4.3822,0.0,0.0,0.0
01:01:03:57:00,15.206,0.804,4.1853,0.0,0.0,0.0
01:01:03:58:00,15.188,0.805,2.5456,0.0,0.0,0.0
01:01:03:59:00,15.188,0.8059999999999999,3.1384,0.0,0.0,0.0
01:01:04:00:00,15.134,0.8059999999999999,2.2056,0.0,0.0,0.0
01:01:04:01:00,15.116,0.807,2.3756,0.0,0.0,0.0
01:01:04:02:00,15.044,0.807,1.1878,0.0,0.0,0.0
01:01:04:03:00,14.972,0.807,0.0559,0.0,0.0,0.0
01:01:04:04:00,14.864,0.8059999999999999,0.3109,0.0,0.0,0.0
01:01:04:05:00,14.882,0.807,1.5838,0.0,0.0,0.0
01:01:04:06:00,14.846,0.8059999999999999,0.6219,0.0,0.0,0.0
01:01:04:07:00,14.774,0.8059999999999999,0.0,0.0,0.0,0.0
01:01:04:08:00,14.666,0.8059999999999999,0.0,0.0,0.0,0.0
01:01:04:09:00,14.594,0.8059999999999999,0.0559,0.0,0.0,0.0
01:01:04:10:00,14.522,0.8059999999999999,0.0,0.0,0.0,0.0
01:01:04:11:00,14.468,0.807,0.0,0.0,0.0,0.0
01:01:04:12:00,14.342,0.8079999999999999,0.34,0.0,0.0,0.0
01:01:04:13:00,14.306,0.809,1.3019,0.0,0.0,0.0
01:01:04:14:00,14.234,0.81,0.1141,0.0,0.0,0.0
01:01:04:15:00,14.144,0.809,0.0,0.0,0.0,0.0
01:01:04:16:00,14.126,0.812,0.0,0.0,0.0,0.0
01:01:04:17:00,14.09,0.818,0.0,0.0,0.0,0.0
01:01:04:18:00,14.126,0.8220000000000001,0.0,0.0,0.0,0.0
01:01:04:19:00,14.198,0.826,0.0,0.0,0.0,0.0
01:01:04:20:00,14.27,0.8270000000000001,0.0,0.0,0.0,0.0
01:01:04:21:00,14.36,0.83,0.0,0.0,0.0,0.0
01:01:04:22:00,14.468,0.83,0.0,0.0,0.0,0.0
01:01:04:23:00,14.54,0.8270000000000001,0.0,0.0,0.001693567,0.0
01:01:04:24:00,14.504,0.8220000000000001,0.0,0.0,0.0,0.0
01:01:04:25:00,14.432,0.816,0.0,0.0,0.0,0.0
01:01:04:26:00,14.306,0.81,2.4897,0.0,0.0,0.0
01:01:04:27:00,14.018,0.8059999999999999,4.1853,0.0,0.0,0.0
01:01:04:28:00,13.784,0.812,3.7603,0.0,0.003057896,0.0
01:01:04:29:00,13.55,0.816,4.2972,0.0,0.005086182,0.0
01:01:04:30:00,13.37,0.8270000000000001,4.2122,0.0,0.005348346,0.0
01:01:04:31:00,13.298,0.835,3.9594,0.0,0.004873627,0.0
01:01:04:32:00,13.334,0.843,3.9012,0.0,0.0043192,0.0
01:01:04:33:00,13.226,0.8440000000000001,5.0599,0.0,0.004208463,0.0
01:01:04:34:00,13.118,0.8440000000000001,6.1068,0.0,0.004797542,0.0
01:01:04:35:00,13.082,0.843,5.4559,0.0,0.004588796,0.0
01:01:04:36:00,13.046,0.835,5.4559,0.0,0.006346835,0.0
01:01:04:37:00,13.19,0.8220000000000001,5.259,0.0,0.006562363,0.0
01:01:04:38:00,13.442,0.807,5.0599,0.0,0.003184519,0.0
01:01:04:39:00,13.622,0.7944,4.834,0.0,0.0,0.0
01:01:04:40:00,13.82,0.7847,4.9749,0.0,0.0,0.0
01:01:04:41:00,14.036,0.7753,5.9368,0.0,0.0,0.0
01:01:04:42:00,14.306,0.7739,6.1068,0.0,0.0,0.0
01:01:04:43:00,14.63,0.7683,6.4737,0.0,0.0,0.0
01:01:04:44:00,14.882,0.7664,6.3328,0.0,0.0,0.0
01:01:04:45:00,15.17,0.7646999999999999,6.6705,0.0,0.0,0.0
01:01:04:46:00,15.278,0.7574,7.2656,0.0,0.0,0.0
01:01:04:47:00,15.26,0.7525,7.6615,0.0,0.0,0.0
01:01:04:48:00,15.224,0.7497,7.5765,0.0,0.0,0.0
01:01:04:49:00,15.224,0.7539,7.8584,0.0,0.0,0.0
01:01:04:50:00,15.188,0.7526,7.3774,0.0,0.0,0.0
01:01:04:51:00,15.152,0.7528,7.4356,0.0,0.0,0.0
01:01:04:52:00,15.152,0.763,6.9546,0.0,0.0,0.0
01:01:04:53:00,15.296,0.7692,6.2478,0.0,0.0,0.0
01:01:04:54:00,15.512,0.7739,5.5118,0.0,0.0,0.0
01:01:04:55:00,15.656,0.7746,5.259,0.0,0.0,0.0
01:01:04:56:00,15.8,0.7768,5.1181,0.001781079,0.0,0.0
01:01:04:57:00,15.854,0.7762,5.429,0.0,0.0,0.0
01:01:04:58:00,15.818,0.7652,5.57,0.0,0.0,0.0
01:01:04:59:00,15.26,0.7417,5.1181,0.0,0.0,0.0
01:01:05:00:00,14.576,0.7498,4.3262,0.0,0.0,0.0
01:01:05:01:00,14.108,0.7559999999999999,4.0153,0.0,0.0,0.0
01:01:05:02:00,13.784,0.7585,4.2412,0.0,0.00282351,0.0
01:01:05:03:00,13.586,0.7691,4.4672,0.0,0.006159177,0.0
01:01:05:04:00,13.496,0.7753,4.8072,0.0,0.006403504,0.0
01:01:05:05:00,13.388,0.7776000000000001,4.3822,0.0,0.006771202,0.0
01:01:05:06:00,13.172,0.7797,3.2234,0.0,0.008890623,0.0
01:01:05:07:00,13.064,0.7831,3.7603,0.0,0.009945595,0.0
01:01:05:08:00,13.208,0.7890999999999999,3.6194,0.0,0.009580034,0.0
01:01:05:09:00,13.442,0.7848,3.5634,0.0,0.004089923,0.0
01:01:05:10:00,13.532,0.774,4.2412,0.0,0.007240998,0.0
01:01:05:11:00,13.91,0.7743000000000001,4.0444,0.0,0.011398273,0.0
01:01:05:12:00,14.468,0.7673000000000001,4.1271,0.0,0.001385139,0.0
01:01:05:13:00,14.648,0.7503,3.9862,0.0,0.00228887,0.0
01:01:05:14:00,14.774,0.7505,4.6662,0.0,0.0,0.0
01:01:05:15:00,14.72,0.7381,5.429,0.0,0.0,0.0
01:01:05:16:00,14.54,0.7369,6.0218,0.0,0.0,0.0
01:01:05:17:00,14.432,0.7422,5.8518,0.0,0.0,0.0
01:01:05:18:00,14.36,0.7436,4.1003,0.0,0.0,0.0
01:01:05:19:00,14.306,0.7439,5.315,0.0,0.0,0.0
01:01:05:20:00,14.27,0.7494,6.1068,0.0,0.0,0.0
01:01:05:21:00,14.36,0.7509999999999999,6.0218,0.0,0.0,0.0
01:01:05:22:00,14.324,0.7498999999999999,6.4737,0.0,0.0,0.0
01:01:05:23:00,14.27,0.7542,7.0396,0.0,0.0,0.0
01:01:05:24:00,14.252,0.754,6.6437,0.0,0.0,0.0
01:01:05:25:00,14.162,0.7471,6.2478,0.0,0.0,0.0
01:01:05:26:00,13.802,0.7411,5.145,0.0,0.0,0.0
01:01:05:27:00,13.442,0.7426,5.2031,0.0,0.0,0.0
01:01:05:28:00,13.1,0.7473000000000001,5.2031,0.0,0.002749376,0.0
01:01:05:29:00,12.92,0.7506,4.8631,0.0,0.004529247,0.0
01:01:05:30:00,12.848,0.7526,4.4112,0.0,0.004955936,0.0
01:01:05:31:00,12.74,0.7534000000000001,4.4381,0.0,0.006680067,0.0
01:01:05:32:00,12.614,0.7545999999999999,5.315,0.0,0.006549078,0.0
01:01:05:33:00,12.56,0.7565999999999999,5.6818,0.0,0.007610832,0.0
